0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
   雾之湖居然完全冻上了,0,1,6,0,0,0,0,0,0,a,0,0
这股寒流，远比那一次可怕,1,1,2,0,0,0,0,0,0,0,0,0
  可不仅仅是寒冷哦，灵梦,0,0,2,1,1,0,0,0,0,b,0,0
妖精在减少，生命力在枯竭,1,0,2,1,4,0,0,0,0,0,0,0
     少了是好事，她们只会瞎胡闹,0,1,8,0,4,0,0,0,0,0,0,0
     女王来啦！,1,0,8,0,4,1,0,0,0,c,0,0
   不陪女王玩，就捣蛋！,0,0,8,0,4,1,1,0,0,0,0,0
     不是“冰雪女王”,1,0,8,1,1,0,1,0,0,0,0,0
     而是“冰雪妖精”么,1,0,8,1,1,0,1,0,0,0,0,0
 我觉得都不是，显然是“冰雪笨蛋”,0,1,8,0,1,0,1,0,0,0,0,0
     冰雪……什么来着？,1,0,8,0,1,1,3,0,0,0,0,0
     依然活蹦乱跳的妖精,0,0,8,1,3,0,3,0,0,0,0,0
   看来“傻人有傻福”这句话很对,1,0,8,1,0,0,3,0,0,0,0,0
 那么这就是你们的回答了,0,0,8,0,0,1,6,0,0,0,-1,0
  不陪我玩的话,1,0,8,0,0,1,6,0,0,0,1,0
      就要往你们的心里扎满刺啦！,0,0,8,0,0,1,5,0,0,0,0,1
