0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
    呜哇，本以为只有我那儿遭殃,0,1,1,0,0,0,0,0,0,a,0,0
看来整个幻想乡都是重灾区,1,1,8,0,0,0,0,0,0,0,0,0
 生命力和精神力在枯竭,0,0,1,1,1,0,0,0,0,b,0,0
 黑幕的手段真是粗暴,0,0,1,1,1,0,0,0,0,0,0,0
   弟子啊，你可要小心,1,0,1,1,2,0,0,0,0,0,0,0
      你这家伙,0,1,6,0,2,0,0,0,0,0,0,0
不要随便在别人背后出现！,1,1,2,0,2,0,0,0,0,0,0,0
    哦，真难得,0,0,0,1,6,0,0,0,0,0,0,0
前方有一扇生命力旺盛的门,1,0,2,1,1,0,0,0,0,0,0,0
     女王来啦！,0,0,2,0,6,1,0,0,0,c,0,0
幻想乡的冬天，支配完毕！,1,0,2,0,6,1,1,0,0,0,0,0
  不错不错，有志气的妖精,0,0,2,1,6,0,1,0,0,0,0,0
但说到四季的支配者，果然还是我啊,1,0,2,1,0,0,1,0,0,0,0,0
    那明明是你搞出来的麻烦事……,0,1,6,0,0,0,1,0,0,0,0,0
  你是上一任冬之支配者！,1,0,6,0,0,1,3,0,0,0,0,0
  想来抢回自己的位子吗？,0,0,6,0,0,1,6,0,0,0,0,0
 我对抢椅子游戏不感兴趣,1,1,1,0,0,0,6,0,0,0,0,0
 更不想和妖精纠缠,1,1,1,0,0,0,6,0,0,0,0,0
明明是张冰冷而不幸的位子,0,0,1,1,0,0,6,0,0,0,-1,0
也就妖精（笨蛋）想坐上去,0,0,1,1,0,0,6,0,0,0,0,0
      总之，冬之支配者就是我啦！,1,0,1,0,6,1,6,0,0,0,1,1
   凛冬已至,0,0,1,0,6,1,5,0,0,0,0,1
   幻想乡将成为我的王国！,0,0,1,0,6,1,5,0,0,0,0,1
