0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
    这样的寒冷，让我想起了故乡,0,1,0,0,0,0,0,0,0,a,0,0
  “凡灾异之本，尽生于人之失”,1,0,0,1,0,0,0,0,0,b,0,0
     想来，是谁要诉说冤屈了吧？,0,0,0,1,2,0,0,0,0,0,0,0
     幻想乡哪里适合诉说冤屈……,1,1,4,0,2,0,0,0,0,0,0,0
妖精和妖怪，都没有认真听讲的耐心,0,1,3,0,2,0,0,0,0,0,0,0
    女王来啦！,1,0,3,0,2,1,1,0,0,c,0,0
见到本女王，赶快下拜吧！,0,0,3,0,2,1,0,0,0,0,0,0
   只是妖精么,1,0,3,1,7,0,1,0,0,0,0,0
   那可派不上什么用场,1,0,3,1,7,0,1,0,0,0,0,0
 切勿小看妖精，她们身上也有妙法,0,1,2,0,7,0,1,0,0,0,0,0
  正所谓“一寸之虫亦有五分之魂”,1,1,8,0,7,0,1,0,0,0,0,0
在女王面前不敬,0,0,0,0,7,1,2,0,0,0,0,0
    想被冰雪教训一下吗？,1,0,0,0,7,1,5,0,0,0,0,0
   耳聪目明的话,0,0,0,1,1,0,5,0,0,0,0,0
   区区冰块根本打不中我,0,0,0,1,1,0,5,0,0,0,0,0
   身心强健的话,1,1,1,0,1,0,5,0,0,0,0,0
   小小雪球实在伤不了我,1,1,1,0,1,0,5,0,0,0,0,0
 哼哼，说大话！,0,0,0 ,0,1,1,6,0,0,0,-1,0
     你们的下场是,1,0,0,0,1,1,5,0,0,0,1,1
     处以冰柜冷藏之刑！,1,0,0,0,1,1,5,0,0,0,0,1
