0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_美夜香,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
回想起昨夜，真是千钧一发,0,1,0,0,0,0,0,0,0,a,0,0
  感谢你施以援手,1,1,2,0,0,0,0,0,0,0,0,0
   无妨，有才能的人总是越多越好,0,0,0,1,6,0,0,0,0,b,0,0
人才和情报实在是太重要了,1,0,0,1,1,0,0,0,0,0,0,0
所以才需要忍者嘛,1,0,0,1,1,0,0,0,0,0,0,0
    如果能碰上谁就好了,0,1,3,0,0,0,0,0,0,0,0,0
        站住！,1,0,3,0,0,1,1,0,0,c,0,0
   手放在两边，不准动！,0,0,3,0,0,1,1,0,0,0,0,0
   脸转过来！,0,0,3,0,0,1,1,0,0,b,0,0
 太好了，送上门的情报源,1,0,3,1,1,0,0,0,0,0,0,0
嗯，特征对不上,0,0,3,0,2,1,0,0,0,0,0,0
虽然妖怪僧和尸解仙都在狩猎清单上,1,0,3,0,2,1,3,0,0,0,0,0
  但这次姑且放你们一马,0,0,3,0,2,1,2,0,0,0,0,0
  赶快回去吧！,0,0,3,0,2,1,2,0,0,0,0,0
     我们是来解决异变的,1,1,0,0,2,0,3,0,0,0,0,0
     可否提供些许线索？,0,1,2,0,2,0,3,0,0,0,0,0
  我不是说放过你们了吗？,1,0,3,0,2,1,5,0,0,0,0,0
     不赶紧逃走，还要什么线索！,0,0,3,0,2,1,6,0,0,0,0,0
 虚张声势的态度非常可疑,1,0,3,1,7,0,6,0,0,0,0,0
 我察觉到你的紧张不安了,1,0,3,1,7,0,6,0,0,0,0,0
  我有什么好紧张的……,0,0,3,0,7,1,3,0,0,0,0,0
  我执行的可是正经公务,1,0,3,0,7,1,2,0,0,0,0,0
   我不喜欢拐弯抹角，就直说好了,0,1,12,0,7,0,2,0,0,0,0,0
  你是天夜叉吧？,1,1,11,0,7,0,2,0,0,0,0,0
    盘踞在三恶道的鬼神,0,1,12,0,7,0,2,0,0,0,0,0
     什么？！,1,0,12,0,7,1,4,0,0,0,0,0
   地狱、畜生、饿鬼,0,0,12,1,5,0,4,0,0,0,0,0
   都是不得了的地方嘛！,0,0,12,1,5,0,4,0,0,0,0,0
   那种地方的“公务”,1,0,12,1,7,0,4,0,0,0,-1,0
   难怪你那么焦躁不安,1,0,12,1,7,0,4,0,0,0,0,0
    我改变主意了,0,0,12,0,7,1,1,0,0,0,1,0
    你们知道的太多了！,0,0,12,0,7,1,1,0,0,0,0,0
    就让我用三界第一的速度和力量,1,0,12,0,7,1,6,0,0,0,0,1
    送你们上路吧！,1,0,12,0,7,1,6,0,0,0,0,1
