0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_白雪,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
     结界之外，原来是这样的景象,0,1,2,0,0,0,0,0,0,a,0,0
比预想中还要严重,1,1,5,0,0,0,0,0,0,0,0,0
为了不引起恐慌,0,0,5,1,6,0,0,0,0,b,0,0
贤者们只好这么做,0,0,5,1,6,0,0,0,0,0,0,0
说起来，已经追上那家伙了,1,0,5,1,1,0,0,0,0,0,0,0
    嗯？你是？,0,0,5,0,1,1,5,0,0,c,0,0
  “宝贝我就收下啦~☆,1,1,1,0,1,0,5,0,0,0,0,0
                    By怪盗白雪”,1,1,1,0,1,0,5,0,0,0,0,0
都递上挑战书了，还想装傻充愣吗？,0,1,2,0,1,0,5,0,0,0,0,0
     不愧是“黑白老鼠”,1,0,2,0,1,1,3,0,0,0,0,0
     这么快就被发现了,1,0,2,0,1,1,3,0,0,0,0,0
    但你知道我是怎么办到的吗？,0,0,2,0,1,1,2,0,0,0,0,0
   不就是“特殊道具”么,1,1,1,0,1,0,2,0,0,0,0,0
    可以遥控的飞行手套,0,1,0,0,1,0,2,0,0,0,0,0
在远处摸别人口袋,1,1,5,0,1,0,2,0,0,0,0,0
一点小把戏而已,1,1,5,0,1,0,2,0,0,0,0,0
     厉害，完全被看破了,0,0,5,0,1,1,1,0,0,0,0,0
    其实是我都看在眼里啦,1,0,0,1,5,0,1,0,0,0,0,-1
那么，告辞——,0,0,0,0,5,1,0,0,0,0,0,0
    既然我知道你的手段,1,1,1,0,5,0,0,0,0,0,0,0
为什么还傻愣愣地被偷呢？,0,1,5,0,5,0,0,0,0,0,0,0
       嗯！？,1,0,5,0,5,1,5,0,0,0,0,0
    在这里活动,0,1,2,0,5,0,5,0,0,0,0,0
    一定知道什么吧，怪盗白雪！,0,1,2,0,5,0,5,0,0,0,0,0
这也是我的主意哦,1,0,2,1,0,0,5,0,0,0,0,-1
  原来如此，想从我这里套取情报,0,0,2,0,0,1,0,0,0,0,0,0
那么，就按盗贼的规矩吧,1,0,2,0,0,1,2,0,0,0,0,0
我会好好和你一决高下的,0,0,2,0,0,1,2,0,0,0,0,0
“黑白老鼠”！,0,0,2,0,0,1,2,0,0,0,0,0
斗技么？我可擅长这个啦～,1,1,7,0,0,0,2,0,0,0,0,0
我听说过，你似乎精通魔法,0,0,0,0,0,1,1,0,0,0,0,0
但怪盗的技艺可不是魔法哦,0,0,0,0,0,1,1,0,0,0,0,0
    既有秘密，又有机关,1,0,0,0,0,1,2,0,0,0,0,0
    是奇妙的艺术,1,0,0,0,0,1,2,0,0,0,0,0
     这个雪夜，只属于我！,0,0,0,0,0,1,0,0,0,0,-1,1
