0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_白雪,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
     千万小心！,0,1,5,0,0,0,0,0,0,a,0,0
    这些雪莲花,1,1,3,0,0,0,0,0,0,0,0,0
    会让生命和精神冻结,1,0,3,0,0,0,0,0,0,0,0,0
    没有以太发生器,0,0,3,1,4,0,0,0,0,b,0,0
    我们一样会冻成刨冰,0,0,3,1,4,0,0,0,0,0,0,0
    先解决眼前的麻烦吧,1,0,3,1,2,0,0,0,0,0,0,0
   这位施主请留步,0,1,2,0,2,0,0,0,0,0,0,0
   你做了不该做的事情,0,1,2,0,2,0,0,0,0,0,0,0
 冤枉！冤枉！,1,0,3,0,2,1,7,0,0,c,0,0
 我什么也没做！,1,0,3,0,2,1,7,0,0,0,0,0
   心脏都跳成那样了，还装无辜？,0,0,3,1,4,0,7,0,0,0,0,0
胆量是很大，但演技不过关,1,0,3,1,1,0,7,0,0,0,0,0
    不会吧，你能听到我的心跳！？,0,0,3,0,7,1,3,0,0,0,0,0
   你是超人吗？,1,0,3,0,7,1,5,0,0,0,0,0
偷盗和妄语，一次犯了两条,0,1,3,0,7,0,5,0,0,0,0,0
 末法之世,1,1,7,0,7,0,5,0,0,0,0,0
 偷鸡摸狗之辈竟如此猖獗,1,1,7,0,7,0,5,0,0,0,0,0
   不要害怕,0,0,7,1,2,0,5,0,0,0,0,0
   她是僧侣，我乃仙人,0,0,7,1,2,0,5,0,0,0,0,0
只要你把偷走的东西还回来,1,0,7,1,1,0,5,0,0,0,0,0
我们是不会为难你的,1,0,7,1,1,0,5,0,0,0,0,0
     仙人又怎么样，我可是怪盗！,0,0,7,0,2,1,7,0,0,0,0,0
到手的东西我才不会还嘞~,1,0,7,0,2,1,2,0,0,0,0,0
    被好胜心害死的兔子,0,0,7,1,7,0,0,0,0,0,0,0
    倒也值得称赞,0,0,7,1,7,0,0,0,0,0,0,0
   小偷可不值得,1,1,3,0,7,0,0,0,0,0,0,0
   困于三毒而不自知的一介宵小,0,1,16,0,7,0,0,0,0,0,0,1
   我将为你超度！,0,1,16,0,7,0,0,0,0,0,0,1
 哼哼，只会吹毛求疵的批评者们,1,0,16,0,7,1,2,0,0,0,0,0
 根本无法和艺术家相提并论！,1,0,16,0,7,1,2,0,0,0,0,0
 我会用最华丽、最富有创造性的手法,0,0,16,0,7,1,1,0,0,0,0,1
 让你们无功而返！,0,0,16,0,7,1,1,0,0,0,-1,1
