0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_小白,8BossB：,9表情_小黑,10立绘出场,11BGM切换,12特殊对话框
    根据兔子的指引,0,1,2,0,0,0,0,0,0,a,0,0
    最终到了这么个冷寂的鬼地方,0,1,2,0,0,0,0,0,0,0,0,0
   寒流确实是从这里流向了幻想乡,1,0,2,1,1,0,0,0,0,b,0,0
                              Helheim,0,0,2,1,2,0,0,0,0,0,0,0
如此说来，敌人在 死后世界,0,0,0,1,2,0,0,0,0,0,0,0
  异乡的客人,1,0,0,0,2,1,1,0,0,c,0,0
  欢迎你们来到八寒地狱,1,0,0,0,2,1,1,0,0,0,0,0
    是守卫吗？还是……,0,0,0,1,2,0,0,0,0,0,0,0
   我们是地狱的引路人,1,0,0,0,0,1,0,0,0,0,0,0
   负责接引来访者,1,0,0,0,0,1,0,0,0,0,0,0
在地狱搞服务业吗？,0,1,4,0,0,0,0,0,0,0,0,0
听上去就感觉完全赚不到钱,0,1,4,0,0,0,0,0,0,0,0,0
 即使是我，也不会去做这种差事的,1,1,0,0,0,0,0,0,0,0,0,0
毕竟是天职嘛～,0,0,0,0,0,1,7,0,0,0,0,0
那么，要办理什么业务呢？,1,0,0,0,0,1,0,0,0,0,0,0
  需要抓捕谁的魂魄吗？,0,0,0,0,0,1,1,0,0,0,0,0
  需要让谁堕入地狱吗？,0,0,0,0,0,1,1,0,0,0,0,0
   要进入地狱的不是别人,1,0,0,1,1,0,0,0,0,0,0,0
   正是我们两个,1,0,0,1,1,0,0,0,0,0,0,0
  生者要下地狱……,0,0,0,0,2,1,5,0,0,0,0,0
  这可是违反规定的呀,0,0,0,0,2,1,5,0,0,0,0,0
   但是在彼岸的时候,1,1,5,0,2,0,0,0,0,0,0,0
   驻守神明也给我放行了,1,1,5,0,2,0,0,0,0,0,0,0
  八寒地狱有自己的规矩,0,0,2,0,0,1,0,0,0,0,0,0
  请回吧,0,0,2,0,0,1,0,0,0,0,0,0
姐姐大人……,1,0,2,0,0,0,0,1,2,d,0,0
这么处理可不好,1,0,2,0,0,0,0,1,2,0,0,0
     初月？！,0,0,2,0,0,1,8,0,0,0,0,0
    她们很可能和之前的逃犯一样,1,0,2,0,0,0,0,1,1,0,0,0
    企图危害八寒地狱的秩序,1,0,2,0,0,0,0,1,1,0,0,0
换而言之,0,0,2,0,0,0,0,1,2,0,0,0
是应当消灭的敌人,0,0,2,0,0,0,0,1,2,0,0,0
 我们只是在追查封冻幻想乡的寒流,1,0,2,1,0,0,0,0,0,0,0,0
 所以才需要进入八寒地狱,1,0,2,1,0,0,0,0,0,0,0,0
  并无意与你们产生冲突,0,0,0,1,1,0,0,0,0,0,0,0
  还请放行,0,0,0,1,1,0,0,0,0,0,0,0
  既然你这么想过去的话,1,0,0,0,0,0,0,1,2,0,0,0
                    死镰,0,0,0,0,0,0,0,1,4,0,0,0
 就用我的 曼珠沙华 送你下地狱吧,0,0,0,0,0,0,0,1,4,0,0,0
   我听说死神的镰刀只是充门面,1,1,5,0,0,0,0,0,0,0,0,0
   其实没什么可怕的,1,1,5,0,0,0,0,0,0,0,0,0
   换而言之,0,1,4,0,0,0,0,0,0,0,0,0
   中看不中用呢,0,1,4,0,0,0,0,0,0,0,0,0
 哼，那么你就亲身体验一下好了,1,0,2,0,0,0,0,1,5,0,0,0
还是按老规矩,0,0,2,0,0,0,0,1,2,0,0,0
魂带走，魄斩灭,0,0,2,0,0,0,0,1,2,0,0,0
好好好……,1,0,2,0,0,1,6,0,0,0,0,0
就按你说的做吧,1,0,2,0,0,1,6,0,0,0,0,0
  准备战斗，灵梦,0,0,2,1,1,0,0,0,0,0,0,0
  她们认真起来了,0,0,2,1,1,0,0,0,0,0,0,0
    在这里死掉的话,1,0,0,1,2,0,0,0,0,0,0,0
    真的连灰都不会剩下,1,0,0,1,2,0,0,0,0,0,0,0
  早准备好了,0,1,3,0,0,0,0,0,0,0,-1,0
  就是要见一个打倒一个,0,1,3,0,0,0,0,0,0,0,0,0
     引导亡魂的歧路之灯,1,0,2,0,0,1,2,0,0,0,1,1
     无常少女White！,1,0,2,0,0,1,2,0,0,0,0,1
     斩却尘缘的了断之镰,0,0,2,0,0,0,2,1,3,0,0,1
     无常少女Black！,0,0,2,0,0,0,2,1,3,0,0,1
    罪无可赦的魂魄啊！,1,0,2,0,0,1,11,0,3,0,0,1
      在八寒的业风中化为尘埃吧！,0,0,2,0,0,0,11,1,8,0,0,1
