0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_白,8BossB：,9表情_黑,10立绘出场,11BGM切换,12特殊对话框
    这股浓烈的死秽气息,0,0,0,1,0,0,0,0,0,b,0,0
前方果然是地狱啊,1,0,0,1,2,0,0,0,0,0,0,0
   如此惊人的寒流,0,1,3,0,2,0,0,0,0,a,0,0
   和灼热地狱完全不同呢,0,1,3,0,2,0,0,0,0,0,0,0
    圣白莲哟,1,0,0,1,0,0,0,0,0,0,0,0
    我听闻地狱种类繁多,1,0,0,1,0,0,0,0,0,0,0,0
你曾渡越异界,0,0,0,1,2,0,0,0,0,0,0,0
能否一一辨明呢？,0,0,0,1,2,0,0,0,0,0,0,0
 若说是寒冷地狱,1,1,2,0,2,0,0,0,0,0,0,0
             青莲           红莲,0,1,0,0,0,0,0,0,0,0,0,0
大概是优钵罗或者钵特摩？,0,1,0,0,0,0,0,0,0,0,0,0
我没听错吧,1,0,0,0,0,1,5,0,0,c,0,0
有人在议论地狱？,1,0,0,0,0,1,5,0,0,0,0,0
    看来你们还不知道自己的处境,0,0,0,0,0,0,0,1,1,d,0,0
   一只脚都踏上了黄泉路,1,0,0,0,0,0,0,1,5,0,0,0
   还能这么悠闲,1,0,0,0,0,0,0,1,5,0,0,0
     两位误会了,0,1,1,0,0,0,0,0,5,0,0,0
   我们只是在这里调查,1,1,0,0,0,0,0,0,5,0,0,0
   而非死后堕入地狱,1,1,0,0,0,0,0,0,5,0,0,0
   打住，佛教徒！,0,0,0,1,5,0,0,0,5,0,0,0
   不要把什么都说出来！,0,0,0,1,5,0,0,0,5,0,0,0
直言贾祸,1,0,0,1,4,0,0,0,5,0,0,0
她们会警惕起来的,1,0,0,1,4,0,0,0,5,0,0,0
    就算不说我们也知道,0,0,0,0,4,0,0,1,4,0,0,0
    没有谁能瞒过无常,0,0,0,0,4,0,0,1,4,0,0,0
  活得太久的僧侣和仙人,1,0,0,0,4,1,6,0,0,0,0,0
  都是麻烦人物啊……,1,0,0,0,4,1,6,0,0,0,0,0
 虽然很想抓捕你们的魂魄,0,0,0,0,4,1,2,0,0,0,0,0
 但上面给我们下达了更重要的任务,0,0,0,0,4,1,2,0,0,0,0,0
我们也有更要紧的事情,1,1,1,0,4,0,2,0,0,0,0,0
所以能不发生冲突的话最好,1,1,1,0,4,0,2,0,0,0,0,0
 说实话我不太想使用暴力,0,0,0,0,0,1,3,0,0,0,0,0
 只能请你们赶紧离开……,0,0,0,0,0,1,3,0,0,0,0,0
   但那位拿镰刀的小姐,1,0,0,1,2,0,2,0,0,0,0,0
   似乎不这么想哦？,1,0,0,1,2,0,2,0,0,0,0,0
      初月？！,0,0,0,0,0,1,8,0,0,0,0,0
    姐姐大人请闭嘴,1,0,0,0,0,0,0,1,5,0,0,0
    你处理得太过草率了,1,0,0,0,0,0,0,1,5,0,0,0
她们能从地狱刺客手下逃脱,0,0,0,0,0,0,0,1,1,0,0,0
这种威胁就需要及时消灭,0,0,0,0,0,0,0,1,1,0,0,0
还是按老规矩,1,0,0,0,0,0,0,1,2,0,0,0
魂带走，魄斩灭,1,0,0,0,0,0,0,1,2,0,0,0
好好好……,0,0,0,0,0,1,6,0,2,0,0,0
就按你说的做吧,0,0,0,0,0,1,6,0,2,0,0,0
   我们一直活到了今天,1,0,0,1,6,0,6,0,2,0,0,0
   可是相当有实力的,1,0,0,1,6,0,6,0,2,0,0,0
击退死神也是修行的一环,0,1,17,0,0,0,6,0,2,0,0,0
我也不介意陪无常练练手,0,1,17,0,0,0,6,0,2,0,0,0
我们无常少女,1,0,12,0,0,1,2,0,2,0,0,0
最喜欢猎杀自以为强大的人,1,0,12,0,0,1,2,0,2,0,0,0
    舍弃了一切追求长生,0,0,12,0,0,0,2,1,2,0,-1,0
    却主动来地狱送死,0,0,12,0,0,0,2,1,2,0,0,0
    为你们的决定后悔吧,1,0,12,0,0,1,2,0,2,0,1,1
    为你们的决定叹息吧,0,0,12,0,0,0,2,1,3,0,0,1
 罪恶的魂魄啊！,1,0,12,0,0,1,11,0,3,0,0,1
   堕入地狱吧！,0,0,12,0,0,0,11,1,8,0,0,1
