0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
   虽然温度还在下降,0,1,0,0,0,0,0,0,0,a,0,0
   但灵力的使用顺畅多了,0,1,0,0,0,0,0,0,0,0,0,0
 魔力浓度突然增加,1,0,0,1,0,0,0,0,0,b,0,0
 说明这里富含着第五元素,1,0,0,1,0,0,0,0,0,0,0,0
 刚才出现的以太粒子,0,0,0,1,1,0,0,0,0,0,0,0
 多半也是从空气中析出的,0,0,0,1,1,0,0,0,0,0,0,0
 两位客人久等了,1,0,0,0,0,1,0,0,0,c,0,0
我是管理此地之人,0,0,0,0,0,1,11,0,0,0,0,0
鬼神长绘照,0,0,0,0,0,1,11,0,0,0,0,0
    不必太担心以太的聚集,1,0,0,0,0,1,1,0,0,0,0,0
    这只是暂时性的举措,1,0,0,0,0,1,1,0,0,0,0,0
    说得轻巧……,0,1,4,0,0,0,11,0,0,0,0,0
 我们可是遭受了无妄之灾,1,1,5,0,0,0,11,0,0,0,0,0
 你们受灾的情况我已知晓,0,0,5,0,0,1,11,0,0,0,0,0
 但修理人员无法马上赶到,0,0,5,0,0,1,11,0,0,0,0,0
 为了制伏越狱的有罪之灵,1,0,5,0,0,1,3,0,0,0,0,0
 我只能紧急控制以太的流动,1,0,5,0,0,1,3,0,0,0,0,0
 地狱的精英小队也已出动,0,0,5,0,0,1,1,0,0,0,0,0
 很快就能把它们捉拿回来,0,0,5,0,0,1,1,0,0,0,0,0
     我们说的好像不是同一件事？,1,1,4,0,0,0,11,0,0,0,0,0
           诶？,0,0,5,0,0,1,4,0,0,0,0,0
                  Arbuda,1,0,5,0,0,1,4,0,0,0,0,0
  你们不是具疱地狱那边的人类灵？,1,0,5,0,0,1,4,0,0,0,0,0
  我们可不打算为地狱办事,0,0,5,1,3,0,2,0,0,0,0,0
  而且听你方才所言,1,0,5,1,5,0,2,0,0,0,0,0
  干扰幻想乡魔力流动的就是你咯？,1,0,0,1,5,0,2,0,0,0,0,0
   竟然不是地狱的人类灵,0,0,0,0,5,1,2,0,0,0,0,0
   而是来自地面的人类,0,0,0,0,5,1,2,0,0,0,0,0
     接连的突发事件让我焦头烂额,1,0,0,0,5,1,5,0,0,0,0,0
     以至于没有注意到这点,1,0,0,0,5,1,5,0,0,0,0,0
 这真是我的失策,0,0,0,0,5,1,5,0,0,0,0,0
    既然你是这里的管理者,1,0,0,1,1,0,5,0,0,0,0,0
     那么关于幻想乡被冰封这件事,0,0,0,1,2,0,5,0,0,0,0,0
     请好好解释一下！,0,0,0,1,2,0,5,0,0,0,0,0
  的确是我控制了幻想乡的以太流动,1,0,0,0,2,1,11,0,0,0,0,0
  但我不过是奉命行事而已,0,0,0,0,2,1,3,0,0,0,0,0
   能够操纵以太的能力,1,0,0,1,5,0,3,0,0,0,0,0
   怎么看都是神明级别的,1,0,0,1,5,0,3,0,0,0,0,0
    神明也会有被驱使的时候呀……,0,0,0,0,5,1,5,0,0,0,0,0
  我必须按照命令,1,0,0,0,5,1,1,0,0,0,0,0
  将幻想乡的魔力彻底封锁,1,0,0,0,5,1,1,0,0,0,0,0
那幻想乡要被封冻到何时？,0,1,3,0,5,0,11,0,0,0,0,0
自然是到我们抓住逃犯为止,1,0,2,0,0,1,11,0,0,0,0,0
没有回旋余地,1,0,2,0,0,1,11,0,0,0,0,0
    这种严寒继续下去,0,1,2,0,0,0,11,0,0,0,0,0
    幻想乡的生灵是支撑不住的！,0,1,2,0,0,0,11,0,0,0,0,0
 你身为神明,1,1,3,0,0,0,11,0,0,0,0,0
 怎能如此冷酷？！,1,1,3,0,0,0,11,0,0,0,0,0
谁叫我堕入了塔尔塔罗斯呢,0,0,2,0,0,1,3,0,0,0,0,0
     身在炼狱，那自然也心向炼狱,1,0,2,0,0,1,11,0,0,0,0,0
    可恶，为了幻想乡,0,1,2,0,0,0,11,0,0,0,0,0
    我要好好收拾你一顿！,0,1,2,0,0,0,11,0,0,0,0,0
   自不量力的人类,1,0,2,0,0,1,3,0,0,0,0,0
   居然想挑战神明的威光,1,0,2,0,0,1,3,0,0,0,0,0
我会用地狱的方式满足你的,0,0,2,0,0,1,11,0,0,0,-1,0
  闪耀吧！,1,0,2,0,0,1,6,0,0,0,1,1
  日月星辰的征服者，完美的光之子！,1,0,2,0,0,1,6,0,0,0,0,1
