0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
  这里的空间里充满了魔力,0,1,1,0,0,0,0,0,0,a,0,0
  总感觉有些黏糊糊的,0,1,1,0,0,0,0,0,0,0,0,0
构成幻想乡魔力基石的以太,1,0,1,1,2,0,0,0,0,b,0,0
恐怕都被集中到这里了,1,0,1,1,2,0,0,0,0,0,0,0
 这么大规模的能量操作,0,1,3,0,2,0,0,0,0,0,0,0
 真的能在一夜之间办到吗？,0,1,3,0,2,0,0,0,0,0,0,0
   广阔到令人绝望的地狱,1,0,3,1,0,0,0,0,0,0,0,0
   有着繁星一般多的强者,1,0,3,1,0,0,0,0,0,0,0,0
   欲窥深渊，则谨慎为要,0,0,3,1,1,0,0,0,0,0,0,0
    如果有人愿意带路就好了……,1,1,5,0,1,0,0,0,0,0,0,0
   嗯？你们是怎么回事？,0,0,0,0,1,1,4,0,0,c,0,0
     八寒地狱现在遍地狼藉,1,0,0,0,1,1,2,0,0,0,0,0
     你们不干活，还有工夫闲逛？,1,0,0,0,1,1,2,0,0,0,0,0
自说自话地把别人当成部下,0,0,0,1,3,0,2,0,0,0,0,-1
这行为还挺讨人嫌的,0,0,0,1,3,0,2,0,0,0,0,-1
  你最没资格说这话吧……,1,1,5,0,3,0,2,0,0,0,0,-1
 大概能猜到她就是鬼神长,0,0,5,1,2,0,2,0,0,0,0,-1
 但似乎有种神明的气质？,0,0,5,1,2,0,2,0,0,0,0,-1
   地狱的神明？,1,1,3,0,2,0,2,0,0,0,0,0
   原来是地面来的稀客呀,0,0,3,0,2,1,2,0,0,0,0,0
    落进塔尔塔罗斯的神,1,0,2,0,2,1,1,0,0,0,0,0
    实在难以计数,1,0,2,0,2,1,3,0,0,0,0,0
   我不过是这些,0,0,2,0,2,1,5,0,0,0,0,0
   下界的沦落者中的一员,0,0,2,0,2,1,5,0,0,0,0,0
     堕落的神明……,1,0,2,1,1,0,5,0,0,0,0,0
     既是典狱长也是囚徒,1,0,2,1,1,0,5,0,0,0,0,0
   被光明世界抛弃的家伙,0,0,2,1,3,0,5,0,0,0,0,0
   也只能落得这般下场了,0,0,3,1,3,0,5,0,0,0,0,0
啰嗦！隐藏在背后的家伙！,1,0,3,0,3,1,2,0,0,0,0,0
   鬼鬼祟祟的神,0,0,3,0,3,1,2,0,0,0,0,0
   哪有资格去嘲笑别人？,0,0,3,0,3,1,2,0,0,0,0,0
  不得不去依附人类,1,0,3,0,3,1,3,0,0,0,0,0
  你才是堕落得毫无底线嘛,1,0,3,0,3,1,3,0,0,0,0,0
   你这家伙……,0,0,3,1,1,0,11,0,0,0,0,0
     和你不同，我可从不行恶道！,1,0,3,1,2,0,11,0,0,0,0,0
   剥夺幻想乡的以太,0,0,3,1,1,0,11,0,0,0,0,0
   你究竟在打什么算盘？,0,0,3,1,1,0,11,0,0,0,0,0
 我不过是他人手中的利剑,1,0,3,0,1,1,5,0,0,0,0,0
 四处奔走只为地狱的利益,1,0,3,0,1,1,5,0,0,0,0,0
    真正掌握一切的,0,0,3,0,1,1,11,0,0,0,0,0
    是端坐于深渊彼方的那位大人,0,0,3,0,1,1,11,0,0,0,0,0
      这种大BOSS后面,1,1,6,0,1,0,11,0,0,0,0,0
      还跟着真·BOSS的感觉……,1,1,6,0,1,0,11,0,0,0,0,0
   不过这也意味着,0,1,7,0,1,0,11,0,0,0,0,0
   我们终于接近了真相！,0,1,7,0,1,0,11,0,0,0,0,0
   弟子哟，以你的潜能,1,0,7,1,0,0,11,0,0,0,0,0
   战胜她不成问题,1,0,7,1,0,0,11,0,0,0,0,0
   这些傲慢的地狱之神,0,0,7,1,2,0,11,0,0,0,0,0
   早就该被教训一顿了,0,0,7,1,2,0,11,0,0,0,0,0
 堕落的神究竟有几分实力,1,1,1,0,2,0,11,0,0,0,0,0
 我也正想试试看呢,1,1,1,0,2,0,11,0,0,0,0,0
  “堕落反而会变得更强”,0,0,1,0,2,1,11,0,0,0,0,0
   这可是地狱的战斗铁律,0,0,1,0,2,1,11,0,0,0,0,0
 越是深不可测的黑暗,1,0,1,0,2,1,3,0,0,0,-1,0
 越能彰显净罪之光的威力,1,0,1,0,2,1,3,0,0,0,0,0
 熄灭吧！,0,0,1,0,2,1,6,0,0,0,1,1
 我曾赐予万物的生命之火！,0,0,1,0,2,1,6,0,0,0,0,1
