0对话内容,1对话切换,4自机A：,5表情_白莲,2自机B：,3表情_神子,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
   这就是地狱的河流吗？,0,0,0,1,0,0,0,0,0,b,0,0
  虽然曾想像过它的样子,1,0,0,1,2,0,0,0,0,0,0,0
  但实际见到还是第一次,1,0,0,1,2,0,0,0,0,0,0,0
    一心追求长生的仙人,0,1,4,0,0,0,0,0,0,a,0,0
    也会梦见死之河吗？,0,1,4,0,0,0,0,0,0,0,0,0
     “未知死，焉知生”,1,0,0,1,2,0,0,0,0,0,0,0
考虑一下死后会渡过哪条河,0,0,0,1,1,0,0,0,0,0,0,0
不也挺有趣的吗？,0,0,0,1,1,0,0,0,0,0,0,0
    但是这条流淌着罪业的河……,1,1,6,0,0,0,0,0,0,0,0,0
    不像能轻松渡过的样子,1,1,6,0,0,0,0,0,0,0,0,0
                             Styx,0,0,0,0,0,1,11,0,0,c,0,0
   因为此处并非界境之河,0,0,0,0,0,1,11,0,0,0,0,0
                              Cocytus,1,0,0,0,0,1,1,0,0,0,0,0
她是流淌在深渊的叹息之河,1,0,0,0,0,1,1,0,0,0,0,0
    亦是为净炼罪业之河,0,0,0,0,0,1,11,0,0,0,0,0
   净炼罪业……？,1,1,2,0,0,0,11,0,0,0,0,0
   这也属于地狱的职能？,1,1,0,0,0,0,11,0,0,0,0,0
圣白莲哟,0,0,0,1,2,0,11,0,0,0,0,0
不要被表面文字给迷惑住了,0,0,0,1,2,0,11,0,0,0,0,0
地狱鬼神长说的“净炼”,1,0,0,1,0,0,11,0,0,0,0,0
只怕是残酷刑罚的一种哦,1,0,0,1,0,0,11,0,0,0,0,0
    真是敏锐啊,0,0,0,0,0,1,4,0,0,0,0,0
   已经知道我是谁了吗？,1,0,0,0,0,1,11,0,0,0,0,0
   是刚才那两位通报的吧,0,1,3,0,0,0,11,0,0,0,0,0
 鬼神长亲临于此,1,0,0,1,2,0,11,0,0,0,0,0
 究竟有何贵干呢？,1,0,0,1,2,0,11,0,0,0,0,0
好好想一想自己的所作所为,0,0,0,0,0,1,3,0,0,0,0,0
   袭击狱卒、破坏秩序,1,0,0,0,0,1,2,0,0,0,0,0
   哪一项都是十足的重罪,1,0,0,0,0,1,2,0,0,0,0,0
 “明察功过，赏罚必当”,0,0,0,1,2,0,2,0,0,0,0,0
 站在公正的立场上讲,1,0,0,1,7,0,2,0,0,0,0,0
 争斗是你的部下先挑起的,1,0,0,1,7,0,2,0,0,0,0,0
     地狱之法即为公正,0,0,0,0,0,1,11,0,0,0,0,0
     妄想挑战它即为罪恶,0,0,0,0,0,1,11,0,0,0,0,0
  法如光明，照耀万物,1,1,8,0,0,0,11,0,0,0,0,0
  可不是凭个人好恶决定的,1,1,8,0,0,0,11,0,0,0,0,0
  法如光明,0,0,0,0,0,1,3,0,0,0,0,0
  这话真是好笑,0,0,0,0,0,1,3,0,0,0,0,0
 掌握世间全部以太的我,1,0,0,0,0,1,6,0,0,0,0,1
 正是照耀炼狱的唯一光明！,1,0,0,0,0,1,6,0,0,0,0,1
     掌握以太的人是你,0,0,0,1,7,0,6,0,0,0,0,0
     那封冻幻想乡的人也是你吗？,0,0,0,1,7,0,6,0,0,0,0,0
    如果我回答“是”呢？,1,0,0,0,0,1,3,0,0,0,0,0
    那么打倒你的理由又多了一条,0,1,3,0,0,0,3,0,0,0,0,0
    消灭邪道，恢复正信,1,1,2,0,0,0,3,0,0,0,0,0
    这是我必须做的,1,1,2,0,0,0,3,0,0,0,0,0
    贸然与我开战,0,0,0,0,0,1,11,0,0,0,0,0
    是你们最愚蠢的决定,0,0,0,0,0,1,11,0,0,0,0,0
     我会用地狱的方式消灭你们的,1,0,0,0,0,1,3,0,0,0,-1,0
       见证吧！,0,0,0,0,0,1,6,0,0,0,1,1
       这永恒的权力！无尽的光芒！,0,0,0,0,0,1,6,0,0,0,0,1
