0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
这片宁静到诡异的大海,0,0,0,1,1,0,0,0,0,b,0,0
只怕是超低温下液化的空气,0,0,0,1,1,0,0,0,0,0,0,0
如果没有结界防护的话,1,0,0,1,2,0,0,0,0,0,0,0
生命在真空中瞬间就会凋零,1,0,0,1,2,0,0,0,0,0,0,0
要在真空中直面黑幕,0,1,2,0,2,0,0,0,0,a,0,0
这是前所未有的严峻事态呢,0,1,2,0,2,0,0,0,0,0,0,0
      青华长乐界,1,0,2,0,2,1,3,0,0,c,0,0
      东极妙严宫,1,0,2,0,2,1,3,0,0,0,0,0
  汝等已然窥见,0,0,2,0,2,1,1,0,0,0,0,0
  空寂世界之净土,0,0,2,0,2,1,1,0,0,0,0,0
寒冷、死寂、空旷,1,1,5,0,2,0,0,0,0,0,0,0
    可以说是众多可能性中,0,1,8,0,2,0,0,0,0,0,0,0
    最最糟糕的世界,0,1,8,0,2,0,0,0,0,0,0,0
     那样极端的世界,1,0,2,1,4,0,0,0,0,0,0,0
     也许只停留在幻想中,1,0,2,1,4,0,0,0,0,0,0,0
     亦或作为究极的牢狱,0,0,2,1,2,0,0,0,0,0,0,0
     在长乐界中具现,0,0,2,1,2,0,0,0,0,0,0,0
  你果然是,1,0,2,1,1,0,0,0,0,0,0,0
  降临地狱的北辰,1,0,2,1,1,0,0,0,0,0,0,0
  地上界的神明,0,0,2,0,2,1,5,0,0,0,0,0
  眼光颇为犀利嘛,0,0,2,0,2,1,5,0,0,0,0,0
我即度化万魂之神,1,0,2,0,2,1,3,0,0,0,0,0
      我即罪海的净土之花,0,0,2,0,2,1,3,0,0,0,0,0
    我即终焉世界的支配者,1,0,2,0,2,1,3,0,0,0,0,0
      吾名为雪华,0,0,2,0,2,1,5,0,0,0,0,0
    长乐界净土,1,0,2,0,2,1,4,0,0,0,0,0
    是我精心打磨的艺术品,1,0,2,0,2,1,4,0,0,0,0,0
那还真是,0,0,2,1,4,0,3,0,0,0,0,0
颇为残酷的艺术呢,0,0,2,1,4,0,3,0,0,0,0,0
和地狱变相图相比,1,0,2,1,2,0,3,0,0,0,0,0
有过之而无不及,1,0,2,1,2,0,3,0,0,0,0,0
    我更喜欢大爆炸的艺术,0,1,5,0,2,0,3,0,0,0,0,0
    而不是大冻结的艺术,0,1,5,0,2,0,3,0,0,0,0,0
  话说，一下子就暴露了？,1,1,4,0,2,0,3,0,0,0,0,0
  秘神这家伙,0,1,6,0,2,0,3,0,0,0,0,0
  真的有好好隐藏自己吗？,0,1,6,0,2,0,3,0,0,0,0,0
     北斗不可能欺瞒太一,1,0,2,0,2,1,3,0,0,0,0,0
     此乃宇宙星海之法则,1,0,2,0,2,1,3,0,0,0,0,0
星星之间的关系,0,1,6,0,2,0,3,0,0,0,0,0
好像很复杂的样子,0,1,6,0,2,0,3,0,0,0,0,0
    汝等身为北斗,1,0,2,0,2,1,2,0,0,0,0,0
    理应知晓地狱不得擅入,1,0,2,0,2,1,2,0,0,0,0,0
星海与罪海之间的距离,0,0,2,0,2,1,1,0,0,0,0,0
比九百三十亿光年更加遥远,0,0,2,0,2,1,1,0,0,0,0,0
     所以我才做足了准备,1,0,2,1,6,0,0,0,0,0,0,0
     找到了可靠的人类,1,0,2,1,6,0,0,0,0,0,0,0
   再遥远的星海也能跨越,0,1,0,0,0,0,0,0,0,0,0,0
   再危险的敌人也能降服,0,1,0,0,0,0,0,0,0,0,0,0
    幻想乡第一的万事屋,1,1,7,0,0,0,0,0,0,0,0,0
    不是别人正是在下☆,1,1,7,0,0,0,0,0,0,0,0,0
原来地上界还有这样的人类,0,0,0,0,0,1,5,0,0,0,0,0
这可真是有趣,0,0,0,0,0,1,5,0,0,0,0,0
  若是由我们来收拾逃犯,1,1,5,0,0,0,0,0,0,0,0,0
  定会比那些狱卒做得更好,1,1,5,0,0,0,0,0,0,0,0,0
 我们是熟知幻想乡的专家,0,0,0,1,3,0,0,0,0,0,0,0
 可不会没头没脑地乱撞,0,0,0,1,3,0,0,0,0,0,0,0
   原来插手地狱的事务,1,0,0,0,6,1,1,0,0,0,0,0
   这才是你们真正的目的么,1,0,0,0,6,1,1,0,0,0,0,0
     地上界的人类与神明,0,0,0,0,6,1,3,0,0,0,0,0
