0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
 这片混沌的空间中,0,0,0,1,0,0,0,0,0,b,0,0
 交杂着虚幻与现实,0,0,0,1,0,0,0,0,0,0,0,0
看看远处的高楼吧,1,0,0,1,1,0,0,0,0,0,0,0
那原本是另一个世界的光景,0,0,0,1,2,0,0,0,0,0,0,0
    要彻底修复大结界,1,1,2,0,0,0,0,0,0,a,0,0
    必须要决这里的问题,1,1,2,0,0,0,0,0,0,0,0,0
   那只雪兔竟然会出现在这里……,0,1,4,0,0,0,0,0,0,0,0,0
    敌人很有可能就在前方,1,1,2,0,0,0,0,0,0,0,0,0
 看来地狱的神明所言不假,0,0,2,1,5,0,0,0,0,0,0,0
  能将结界破坏成这样,1,0,2,1,2,0,0,0,0,0,0,0
  对方的实力不容小觑呢,1,0,2,1,2,0,0,0,0,0,0,0
 迎来末日的地方,0,0,2,0,0,1,1,0,0,c,0,0
 原来叫幻想乡啊,0,0,2,0,0,1,1,0,0,0,0,0
被卷入我的复仇中,1,0,2,0,0,1,4,0,0,0,0,0
你们还真是不幸,1,0,2,0,0,1,4,0,0,0,0,0
       你是？！,0,1,6,0,0,0,0,0,0,0,0,0
我乃星罗,1,0,2,0,0,1,1,0,0,0,0,0
逆天而行的复仇者,1,0,2,0,0,1,1,0,0,0,0,0
 有胆量来挑战阿修罗的,0,0,2,0,0,1,7,0,0,0,0,0
 想必是这个世界的强者吧？,0,0,2,0,0,1,7,0,0,0,0,0
   哼，实际一看,1,0,2,0,0,1,3,0,0,0,0,0
   也不过如此,1,0,2,0,0,1,3,0,0,0,0,0
  你说自己是——,0,1,3,0,0,0,0,0,0,0,0,0
  阿修罗？！,0,1,3,0,0,0,0,0,0,0,0,0
     毁灭一切秩序的恶神,1,0,2,1,2,0,0,0,0,0,0,0
     与天为敌的破坏者,1,0,2,1,2,0,0,0,0,0,0,0
     原来地狱追捕的逃犯,0,0,2,1,5,0,0,0,0,0,0,0
     竟是如此危险的家伙,0,0,2,1,5,0,0,0,0,0,0,0
     阿修罗又怎样？,1,1,5,0,2,0,0,0,0,0,0,0
     不过是一个逃犯而已,1,1,5,0,2,0,0,0,0,0,0,0
     大摇大摆地现身于此,0,1,4,0,2,0,0,0,0,0,0,0
     不怕被丢回深渊么？,0,1,4,0,2,0,0,0,0,0,0,0
     你们似乎是有些误解,1,0,2,0,2,1,5,0,0,0,0,0
     我可不是狼狈出逃哦,1,0,2,0,2,1,5,0,0,0,0,0
 而是彻底粉碎八寒地狱后,0,0,2,0,2,1,6,0,0,0,0,1
 再次君临弱肉强食的顶点！,0,0,2,0,2,1,6,0,0,0,0,1
   假如情况属实,1,0,2,1,1,0,0,0,0,0,0,0
   那地狱那帮人并没有夸大,1,0,2,1,1,0,0,0,0,0,0,0
    危险等级将是MAX,0,0,2,1,2,0,0,0,0,0,0,0
    足以威胁到世界的安危,0,0,2,1,2,0,0,0,0,0,0,0
 为了守护幻想乡,1,1,2,0,2,0,0,0,0,0,0,0
 这种危险人物一定要干掉！,1,1,2,0,2,0,0,0,0,0,0,0
    很遗憾，幻想乡的毁灭,0,0,2,0,2,1,3,0,0,0,0,0
    已经是既定事项了,0,0,2,0,2,1,3,0,0,0,0,0
    你说什么？！,1,1,3,0,2,0,0,0,0,0,0,0
       要去往现世,0,0,2,0,2,1,7,0,0,0,0,0
       就必须破坏这层结界,0,0,2,0,2,1,7,0,0,0,0,0
  它原本就已摇摇欲坠,1,0,2,0,2,1,3,0,0,0,0,0
  我只要轻轻一碰就会崩溃,1,0,2,0,2,1,3,0,0,0,0,0
 你最终的目的,0,0,2,1,5,0,0,0,0,0,0,0
 是逃亡到外界吗？,0,0,2,1,5,0,0,0,0,0,0,0
  逃亡么，哼哼,1,0,2,0,2,1,3,0,0,0,0,0
  未免把我想得太过胆怯了,1,0,2,0,2,1,3,0,0,0,0,0
 一旦到达现世,0,0,2,0,2,1,2,0,0,0,0,0
 我就会熄灭太阳、粉碎月亮,0,0,2,0,2,1,2,0,0,0,0,0
       让究极的黑暗降临！,1,0,2,0,2,1,6,0,0,0,0,1
       重现非天的荣光！,1,0,2,0,2,1,6,0,0,0,0,1
      再也没有人可以阻挡,0,0,2,0,2,1,2,0,0,0,0,0
      我毁灭三界的征程！,0,0,2,0,2,1,2,0,0,0,0,0
      要颠覆整个世界……,1,1,4,0,2,0,0,0,0,0,0,0
      这也太狂妄了吧？,1,1,4,0,2,0,0,0,0,0,0,0
好勇斗狠、嗔忿无度,0,0,2,1,4,0,0,0,0,0,0,0
果然这就是阿修罗的本性呢,0,0,2,1,4,0,0,0,0,0,0,0
    也好，这样省了不少麻烦,1,0,2,1,2,0,0,0,0,0,0,0
    我们本来也打算用武力解决问题,1,0,2,1,2,0,0,0,0,0,0,0
  话说在前头,0,1,8,0,2,0,0,0,0,0,0,0
  我和紫可是相当之强哦？,0,1,8,0,2,0,0,0,0,0,0,0
你觉得我们会坐视不管吗？,1,1,2,0,2,0,0,0,0,0,0,0
 哼！螳臂当车，不自量力,0,0,2,0,2,1,2,0,0,0,0,0
    就让我在这修罗战场上,1,0,2,0,2,1,6,0,0,0,0,0
    彻底粉碎你们的自信,1,0,2,0,2,1,6,0,0,0,0,0
 准备好迎接你们的结局吧！,0,0,2,0,2,1,2,0,0,0,0,0
  千万要小心，灵梦,1,0,2,1,1,0,0,0,0,0,0,0
  那是连神明都畏惧的力量！,1,0,2,1,1,0,0,0,0,0,0,0
   我也不是第一次,0,1,3,0,2,0,0,0,0,0,0,0
   和神明级的敌人战斗了！,0,1,3,0,2,0,0,0,0,0,0,0
历经千万年苦修所得之祝福,1,0,2,0,2,1,2,0,0,0,0,0
将为我带来绝对的胜利！,1,0,2,0,2,1,2,0,0,0,0,0
无论身处虚幻还是身处现实,0,0,2,0,2,1,6,0,0,0,0,1
没有任何存在能伤到我！,0,0,2,0,2,1,6,0,0,0,0,1
罗波那、水持、伯利……,1,0,2,0,2,1,2,0,0,0,-1,0
曾与天抗争的诸阿修罗王啊,1,0,2,0,2,1,2,0,0,0,0,0
       见证吧！现在正是复仇之时！,0,0,2,0,2,1,8,0,0,0,1,1
       阿修罗的怒火必将烧尽一切！,0,0,2,0,2,1,8,0,0,0,0,1
