0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
 （再拖延下去，力量就要用尽了…）,1,1,2,0,0,0,0,0,0,a,0,-1
  （再加把劲，我的弟子,0,0,2,1,1,0,0,0,0,b,0,-1
      她还没意识到赐福已失效了）,0,0,2,1,1,0,0,0,0,0,0,-1
       做我的对手，你们还差得远！,1,0,2,0,2,1,0,0,0,c,0,1
       准备迎接终结吧！,1,0,2,0,2,1,0,0,0,0,0,1
        Finale,0,0,2,0,2,1,0,0,0,0,0,1
     终焉一击！,0,0,2,0,2,1,0,0,0,0,0,1
  （好机会，趁着她一心发动攻击,1,0,2,1,1,0,0,0,0,c,0,-1
      一口气打穿“无敌”！）,1,0,2,1,1,0,0,0,0,0,0,-1
      就是现在！,0,1,2,0,2,0,0,0,0,b,0,1
