0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_美夜香,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
唔——,0,0,0,0,0,1,7,0,0,c,0,0
没想到这么难缠,0,0,0,0,0,1,7,0,0,0,0,0
 果然一个人还是太勉强了,1,0,0,0,0,1,8,0,0,0,0,0
  没关系，来几个也不是我们的对手,0,0,0,1,7,0,8,0,0,b,0,0
    快点坦白吧,1,1,15,0,7,0,8,0,0,a,0,0
    你是什么时候潜入幻想乡的？,1,1,15,0,7,0,8,0,0,0,0,0
  我才没工夫跟你们纠缠,0,0,15,0,7,1,7,0,0,0,0,0
最后警告一次,1,0,15,0,7,1,8,0,0,0,0,0
不要搅和进来！,1,0,15,0,7,1,8,0,0,0,0,0
    速速退散！,0,0,15,0,7,1,8,0,0,0,0,0
     速速退散，这应该是我说的话,1,0,6,1,4,0,8,0,0,c,0,0
    要追上去吗？,0,1,3,0,4,0,8,0,0,0,0,0
  没有这个必要了,1,0,3,1,2,0,8,0,0,0,0,0
    你看破她身份的时候,0,0,3,1,1,0,8,0,0,0,0,0
    线索就已经握在手中,0,0,3,1,1,0,8,0,0,0,0,0
