0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
    呜……,0,0,0,0,0,1,8,0,0,c,0,0
    好过分……,0,0,0,0,0,1,8,0,0,0,0,0
  老老实实把东西还来吧,1,1,1,0,0,0,8,0,0,a,0,0
   给(递出),0,0,1,0,0,1,8,0,0,0,0,0
   失手了，再也当不了怪盗了……,0,0,1,0,0,1,8,0,0,0,0,0
  这个名号有这么重要么？,1,1,5,0,0,0,8,0,0,0,0,0
 暴露了身份的怪盗就不能算怪盗了,0,0,5,1,0,0,8,0,0,b,0,0
   近在咫尺却失之交臂,1,0,5,1,1,0,8,0,0,0,0,0
   这份“神秘感”正是其魅力所在,1,0,5,1,1,0,8,0,0,0,0,0
  自从发生了异变,0,0,5,0,1,1,8,0,0,0,0,0
  尽碰上些可怕的家伙……,0,0,5,0,1,1,8,0,0,0,0,0
    先是过来一个，现在又过去两个,1,0,5,0,1,1,9,0,0,0,0,0
    你好像知道些什么？,0,1,6,0,1,0,9,0,0,0,0,0
都说出来吧,1,0,6,1,2,0,9,0,0,0,0,0
这些信息对幻想乡非常重要,1,0,6,1,2,0,9,0,0,0,0,0
  想知道的话亲眼去看吧,0,0,6,0,2,1,8,0,0,0,0,0
沿着这些雪莲花的痕迹，直到尽头,1,0,6,0,2,1,9,0,0,0,0,0
  真相就在那里,0,0,6,0,2,1,9,0,0,0,0,0
