0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_小白,8BossB：,9表情_小黑,10立绘出场,11BGM切换,12特殊对话框
呜……输了……,0,0,0,0,0,0,0,1,7,d,0,0
我要是再努力一些就好了,1,0,0,0,0,0,0,1,6,0,0,0
   不用自责，初月,0,0,0,0,0,1,9,0,6,c,0,0
   你已经做得很出色了,0,0,0,0,0,1,9,0,6,0,0,0
   地狱是不相信眼泪的～,1,1,0,0,0,0,9,0,6,a,0,0
    说话更有地狱风格了哦，灵梦,0,0,0,1,0,0,9,0,6,b,0,0
    怎么办,1,0,0,0,0,0,9,1,7,0,0,0
    她们就要进去了……,1,0,0,0,0,0,9,1,7,0,0,0
没事的，初月,0,0,0,0,0,1,10,0,7,0,0,0
我已经联络了鬼神长大人,0,0,0,0,0,1,10,0,7,0,0,0
她一定会解决掉入侵者的,1,0,0,0,0,1,10,0,7,0,0,0
  地狱的大人物么,0,0,0,1,5,0,10,0,7,0,0,0
 有种踩到老虎尾巴的感觉,1,0,0,1,5,0,10,0,7,0,0,0
 越是大人物越可能得到有用的信息,0,1,1,0,5,0,10,0,7,0,0,0
   尽管放马过来好了！,1,1,0,0,5,0,10,0,7,0,0,0
