0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪珂,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
   呜……,0,0,0,0,0,0,0,1,6,d,0,0
   我输了……,0,0,0,0,0,0,0,1,6,0,0,0
  她们毕竟是执着于长生的暴徒……,1,0,0,0,0,1,9,0,6,c,0,0
    输了也没办法的呢,0,0,0,0,0,1,10,0,6,0,0,0
    不必那么伤心，初月,0,0,0,0,0,1,10,0,6,0,0,0
   长生的执念我早已放下,1,1,0,0,0,0,10,0,6,a,0,0
   现在只想为他人行善事,0,1,1,0,0,0,10,0,6,0,0,0
    但世人总是需要引导的,1,0,0,1,1,0,10,0,6,b,0,0
    长生和佛教一样是好用的工具,1,0,0,1,1,0,10,0,6,0,0,0
  哼，等鬼神长大人到来,0,0,0,0,2,0,10,1,7,0,0,0
  你们就笑不出来了,0,0,0,0,2,0,10,1,7,0,0,0
    那可不一定,1,0,0,1,7,0,10,0,7,0,0,0
高位者总是有共同语言的～,0,0,0,1,6,0,10,0,7,0,0,0
