0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
  真是久违了,0,0,0,0,0,1,7,0,0,c,0,0
  这失败的滋味,0,0,0,0,0,1,7,0,0,0,0,0
   别装模作样了,1,1,4,0,0,0,7,0,0,a,0,0
     我知道你还留有余力,0,1,5,0,0,0,7,0,0,0,0,0
   看来你们不仅实力优秀,1,0,5,0,0,1,9,0,0,0,0,0
   判断力也很准确嘛,1,0,5,0,0,1,9,0,0,0,0,0
明明力量还很充裕,0,1,4,0,0,0,8,0,0,0,0,0
怎么看都不像会认输的样子,0,1,4,0,0,0,8,0,0,0,0,0
   想必和那位逃犯有关吧,1,0,0,1,1,0,8,0,0,b,0,0
抓捕她现在是最优先事项,0,0,0,1,0,0,8,0,0,0,0,0
或许地狱正需要我们帮忙吧,0,0,0,1,0,0,8,0,0,0,0,0
       当真！？,1,1,3,0,0,0,8,0,0,0,0,0
我的部下论打架是一把好手,0,0,2,0,0,1,10,0,0,0,0,0
但搜查就不尽人意了,0,0,2,0,0,1,10,0,0,0,0,0
    恰巧在这时，不仅熟悉幻想乡,1,0,2,0,0,1,9,0,0,0,0,0
    又有实力的人出现在我面前,1,0,2,0,0,1,9,0,0,0,0,0
    简直像是为我们量身定制一般,0,0,2,0,0,1,8,0,0,0,0,0
   如果我们抓住那家伙,1,1,1,0,0,0,8,0,0,0,0,0
   你们就会解除幻想乡的封冻吗？,1,1,1,0,0,0,8,0,0,0,0,0
   那是当然，只要你说服我的上司,0,0,0,0,0,1,9,0,0,0,0,0
   自从发生了这档子事,1,0,0,0,0,1,10,0,0,0,0,0
   我已经忙到焦头烂额了,1,0,0,0,0,1,10,0,0,0,0,0
  为了减负,0,0,0,0,0,1,10,0,0,0,0,0
  我可是什么都做得出来,0,0,0,0,0,1,10,0,0,0,0,0
  地狱到底是什么样的工作制……,1,1,8,0,0,0,10,0,0,0,0,0
    想必是我们想象不到的黑暗吧,0,0,0,1,5,0,10,0,0,0,0,0
考虑到那逃犯的威胁程度,1,0,0,0,0,1,9,0,0,0,0,0
    整个三界都面临被动摇的风险,0,0,0,0,0,1,8,0,0,0,0,0
只要有人晓以利弊,1,0,0,0,0,1,9,0,0,0,0,0
提议被采纳的概率应该不低,1,0,0,0,0,1,9,0,0,0,0,0
放心吧，我会好好说服她的,0,1,3,0,0,0,8,0,0,0,0,0
    口头上的和手头上的,1,1,2,0,0,0,8,0,0,0,0,0
    都会试试看,1,1,2,0,0,0,8,0,0,0,0,0
    那么接下来,0,0,2,0,0,1,9,0,0,0,0,0
    请去往大莲华地狱吧,0,0,2,0,0,1,9,0,0,0,0,0
