0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
    原来不全是说大话嘛,0,0,0,0,0,1,9,0,0,c,0,0
    隐匿在背后的神明,1,0,0,0,0,1,8,0,0,0,0,0
    你和我拥有相同类型的能力呢,1,0,0,0,0,1,8,0,0,0,0,0
   虽然路径不同,0,0,0,1,0,0,8,0,0,b,0,0
   但都触及了魔力的本源,0,0,0,1,0,0,8,0,0,0,0,0
 可惜我没得到命运的眷顾,1,0,0,0,6,1,10,0,0,0,0,0
 只得从神位跌落……,1,0,0,0,6,1,10,0,0,0,0,0
 神明不会自己堕落,0,0,0,1,4,0,10,0,0,0,0,0
 是人类决定了我们的命运,0,0,0,1,4,0,10,0,0,0,0,0
所以我才这么重视与人合作,1,0,0,1,5,0,10,0,0,0,0,0
     人类与神明联手……,0,0,0,0,6,1,8,0,0,0,0,0
     这倒值得一试啊！,0,0,0,0,6,1,9,0,0,0,0,0
  那么，现在差不多是时候,1,1,1,0,6,0,8,0,0,a,0,0
  把情况说清楚了吧？,1,1,1,0,6,0,8,0,0,0,0,0
 正如你们所见,0,0,0,0,6,1,10,0,0,0,0,0
 八寒地狱正处于一片混乱,0,0,0,0,6,1,10,0,0,0,0,0
大量的恶灵暴动出逃……,1,0,0,0,6,1,7,0,0,0,0,0
老实说，我已经不堪重负了,1,0,0,0,6,1,7,0,0,0,0,0
   鬼神长也不好干呐……,0,1,6,0,6,0,7,0,0,0,0,0
但是这些暴动的恶灵,1,0,0,0,6,1,10,0,0,0,0,0
跟那家伙比起来都不算什么,1,0,0,0,6,1,10,0,0,0,0,0
   闯入幻想乡的逃犯,0,0,0,0,6,1,9,0,0,0,0,0
   乃是毁灭一切的破坏者,0,0,0,0,6,1,9,0,0,0,0,0
冰封是限制逃犯的手段么？,1,0,0,1,2,0,8,0,0,0,0,0
    不错，可惜我的部下让人失望,0,0,0,0,2,1,10,0,0,0,0,0
    没能利用好机会,0,0,0,0,2,1,10,0,0,0,0,0
   天夜叉小姐看着正经,1,0,0,1,4,0,10,0,0,0,0,0
   原来也不靠谱呐,1,0,0,1,4,0,10,0,0,0,0,0
    见多了不靠谱的部下,0,0,0,0,4,1,8,0,0,0,0,0
    才会想到熟悉幻想乡的人与神,0,0,0,0,4,1,8,0,0,0,0,0
  你要我们帮忙抓捕逃犯？,1,1,4,0,4,0,8,0,0,0,0,0
  只要罪人被送回地狱,0,0,0,0,4,1,9,0,0,0,0,0
  幻想乡自然会解除冰封,0,0,0,0,4,1,9,0,0,0,0,0
     我们的利害关系其实是一致的,1,0,0,0,4,1,8,0,0,0,0,0
   不仅遭受了无妄之灾,0,0,0,1,1,0,8,0,0,0,0,0
   还要出力帮忙抓捕逃犯,0,0,0,1,1,0,8,0,0,0,0,0
    好一个利害关系一致,1,0,0,1,2,0,8,0,0,0,0,0
    这可真是讽刺呢,1,0,0,1,2,0,8,0,0,0,0,0
但是眼下也没有别的办法了,0,1,6,0,2,0,8,0,0,0,0,0
时间紧迫，我就再出把力吧,1,1,5,0,2,0,8,0,0,0,0,0
    那么最后一道难关,0,0,0,0,2,1,10,0,0,0,0,0
    就是要说服我的上司,0,0,0,0,2,1,10,0,0,0,0,0
  我会送你们去地狱最深处,1,0,0,0,2,1,9,0,0,0,0,0
  请务必好好表现,1,0,0,0,2,1,9,0,0,0,0,0
那么事后的报酬和赔偿呢？,0,0,0,1,3,0,8,0,0,0,0,0
     一定一定,1,0,0,0,3,1,8,0,0,0,0,0
