0对话内容,1对话切换,4自机B：,5表情_白莲,2自机A：,3表情_神子,6BossA：,7表情_绘照,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
竟然没有被我沉进叹息之河,0,0,0,0,0,1,9,0,0,c,0,0
你们的实力还不错嘛,0,0,0,0,0,1,9,0,0,0,0,0
    一副气定神闲的样子,1,1,6,0,0,0,8,0,0,a,0,0
    恐怕没那么简单……,0,1,3,0,0,0,8,0,0,0,0,0
    我从一开始就赢了呢,1,0,3,0,0,1,8,0,0,0,0,0
    虽然你们打败了我,0,0,3,0,0,1,9,0,0,0,0,0
    但高强度的以太风会侵蚀身体,0,0,3,0,0,1,9,0,0,0,0,0
     你们休想活着离开八寒地狱！,1,0,3,0,0,1,8,0,0,0,0,0
   的确情况对我们很不利,0,0,3,1,2,0,8,0,0,b,0,0
  但比起对付我们,1,0,3,1,7,0,8,0,0,0,0,0
  你还有更紧急的事务吧？,1,0,3,1,7,0,8,0,0,0,0,0
 什么？,0,0,3,0,7,1,9,0,0,0,0,0
 你怎么知道……,0,0,0,0,7,1,10,0,0,0,0,0
你们在幻想乡寻找着什么人,1,0,0,1,2,0,10,0,0,0,0,0
但至今还未得手吧？,1,0,0,1,2,0,10,0,0,0,0,0
     唔……,0,0,0,0,7,1,7,0,0,0,0,0
    虽然派出了不少部下,1,0,0,1,7,0,7,0,0,0,0,0
    但情况却越来越糟，甚至……,1,0,0,1,7,0,7,0,0,0,0,0
  打住打住，不要说了……,0,0,0,0,7,1,10,0,0,0,0,0
   还真被你说中了,1,0,0,0,7,1,7,0,0,0,0,0
   我正为逃犯而头疼呢,1,0,0,0,7,1,7,0,0,0,0,0
   不赶紧把她抓回去的话,0,0,0,0,7,1,10,0,0,0,0,0
   天上地下都会招致灾厄,0,0,0,0,7,1,10,0,0,0,0,0
那么，考虑一下我们如何？,1,0,0,1,2,0,10,0,0,0,0,0
又熟悉幻想乡,0,0,0,1,6,0,10,0,0,0,0,0
又兼具强大的实力,0,0,0,1,6,0,10,0,0,0,0,0
  听上去倒有点意思……,1,0,0,0,7,1,8,0,0,0,0,0
  但我的上司不一定认同,0,0,0,0,7,1,10,0,0,0,0,0
让我们和她谈谈吧,1,1,2,0,7,0,10,0,0,0,0,0
 我们的利害关系是一致的,0,1,0,0,7,0,10,0,0,0,0,0
 或许能让事情出现转机,0,1,0,0,7,0,10,0,0,0,0,0
你们真的要去么,1,0,0,0,7,1,9,0,0,0,0,0
那可是八寒地狱最深处……,0,0,0,0,7,1,8,0,0,0,0,0
