0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
  是我输了……,0,0,0,0,0,1,9,0,0,c,0,0
    但为什么赐福会失效？,1,0,0,0,0,1,10,0,0,0,0,0
    为什么你们能伤到我？,1,0,0,0,0,1,10,0,0,0,0,0
  你自己刚才不是说过吗？,0,1,1,0,0,0,11,0,0,a,0,0
   “无论身处虚幻还是身处现实”,1,1,0,0,0,0,11,0,0,0,0,0
      这里是大结界的边缘地带,0,0,0,1,1,0,11,0,0,b,0,0
      恰恰处于现实和虚幻的夹缝中,0,0,0,1,1,0,11,0,0,0,0,0
这场战斗的结果,1,0,0,1,3,0,11,0,0,0,0,0
从一开始就注定了,1,0,0,1,3,0,11,0,0,0,0,0
     原来你们早就知道赐福的弱点,0,0,0,0,0,1,10,0,0,0,0,0
亏我还把它当做最后的底牌,1,0,0,0,0,1,9,0,0,0,0,0
（这些都在你的计算中么，雪华？）,0,0,0,0,0,1,11,0,0,0,0,-1
   接下来，我们会把你带回幻想乡,1,1,1,0,0,0,11,0,0,0,0,0
   这是我们和地狱神明的约定,1,1,1,0,0,0,11,0,0,0,0,0
     按照你们非天的规矩,0,1,5,0,0,0,11,0,0,0,0,0
     胜者支配败者对吧？,0,1,5,0,0,0,11,0,0,0,0,0
  我绝不食言,1,0,0,0,0,1,9,0,0,0,0,0
  全都听你们的,1,0,0,0,0,1,9,0,0,0,0,0
说来我还没好好看过幻想乡,0,0,0,0,0,1,10,0,0,0,0,0
究竟是个怎样的世界呢？,0,0,0,0,0,1,10,0,0,0,0,0
 好好观察一番吧,1,0,0,1,1,0,11,0,0,0,0,0
 这里比你想象中更有趣哦？,1,0,0,1,1,0,11,0,0,0,0,0
  那就按照惯例打个招呼吧,0,1,1,0,0,0,11,0,0,0,0,0
 欢迎来到幻想乡！,1,1,0,0,0,0,11,0,0,0,0,0
