0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
  是我输了……,0,0,0,0,0,1,9,0,0,c,0,0
    但为什么赐福会失效？,1,0,0,0,0,1,10,0,0,0,0,0
    为什么你们能伤到我？,1,0,0,0,0,1,10,0,0,0,0,0
  你自己刚才不是说过吗？,0,1,1,0,0,0,11,0,0,a,0,0
   “无论身处虚幻还是身处现实”,1,1,3,0,0,0,11,0,0,0,0,0
      这里是大结界的边缘地带,0,0,0,1,0,0,11,0,0,b,0,0
      恰恰处于现实和虚幻的夹缝中,0,0,0,1,0,0,11,0,0,0,0,0
这场战斗的结果,1,0,0,1,4,0,11,0,0,0,0,0
从一开始就注定了,1,0,0,1,4,0,11,0,0,0,0,0
      千万年的苦修，至高神的赐福,0,0,0,0,6,1,11,0,0,0,0,0
      全都化作了泡影,0,0,0,0,6,1,11,0,0,0,0,0
（在关键的地方棋差一招,1,0,0,0,6,1,9,0,0,0,0,-1
    这难道是非天的宿命？）,1,0,0,0,6,1,9,0,0,0,0,-1
  那么接下来,0,1,3,0,6,0,11,0,0,0,0,0
  你就在幻想乡老实呆着吧,0,1,3,0,6,0,11,0,0,0,0,0
  换个地方蛰伏也不错,1,0,0,0,6,1,9,0,0,0,0,0
  复仇大业路上的曲折罢了,1,0,0,0,6,1,9,0,0,0,0,0
呵呵，姑且留日月在天上,0,0,0,0,6,1,10,0,0,0,0,0
以后有的是机会将她们熄灭,0,0,0,0,6,1,10,0,0,0,0,0
还没有放弃啊,1,1,6,0,6,0,11,0,0,0,0,0
真是个麻烦的家伙,1,1,6,0,6,0,11,0,0,0,0,0
非天在守信这方面,0,0,0,1,0,0,11,0,0,0,0,0
还是值得肯定的,0,0,0,1,0,0,11,0,0,0,0,0
况且我也相信,1,0,0,1,5,0,11,0,0,0,0,0
这片土地有接纳一切的魅力,1,0,0,1,5,0,11,0,0,0,0,0
       说的也是,0,1,5,0,5,0,11,0,0,0,0,0
 欢迎来到幻想乡！,1,1,7,0,5,0,11,0,0,0,0,0
