0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
  是我输了……,0,0,0,0,0,1,9,0,0,c,0,0
    但为什么赐福会失效？,1,0,0,0,0,1,10,0,0,0,0,0
    为什么你们能伤到我？,1,0,0,0,0,1,10,0,0,0,0,0
  你自己刚才不是说过吗？,0,1,2,0,0,0,11,0,0,a,0,0
   “无论身处虚幻还是身处现实”,1,1,1,0,0,0,11,0,0,0,0,0
      这里是大结界的边缘地带,0,0,0,1,2,0,11,0,0,b,0,0
      恰恰处于现实和虚幻的夹缝中,0,0,0,1,2,0,11,0,0,0,0,0
这场战斗的结果,1,0,0,1,1,0,11,0,0,0,0,0
从一开始就注定了,1,0,0,1,1,0,11,0,0,0,0,0
    机关算尽，却功亏一篑,0,0,0,0,2,1,9,0,0,0,0,0
    竟然是这种结局,0,0,0,0,2,1,9,0,0,0,0,0
     针山、火海、血池、冰河,1,0,0,0,2,1,11,0,0,0,0,0
     不知这次又会被送去何处受罚,1,0,0,0,2,1,11,0,0,0,0,0
被囚禁千年的孤苦,0,1,3,0,2,0,11,0,0,0,0,0
我们也同样体会过,0,1,3,0,2,0,11,0,0,0,0,0
  推己及人,1,0,3,1,2,0,11,0,0,0,0,0
  我们不会把你交给地狱的,1,0,3,1,2,0,11,0,0,0,0,0
   难道要把我留在幻想乡？,0,0,3,0,2,1,10,0,0,0,0,0
   哼！真是异想天开,0,0,3,0,2,1,10,0,0,0,0,0
     你们是不是忘记了,1,0,3,0,2,1,9,0,0,0,0,0
     我依然是那个毁灭秩序的非天,1,0,3,0,2,1,9,0,0,0,0,0
  总之，来我的道场陶冶身心如何？,0,0,3,1,6,0,11,0,0,0,0,0
  或许能发掘不一样的自我哦,0,0,3,1,6,0,11,0,0,0,0,0
     我倒觉得寺庙的清静,1,1,8,0,6,0,11,0,0,0,0,0
     更适合修行与参悟,1,1,8,0,6,0,11,0,0,0,0,0
  败北就是败北,0,0,0,0,6,1,9,0,0,0,0,0
  想要我去哪，你们说了算,0,0,0,0,6,1,9,0,0,0,0,0
     这个世界的宗旨就是接纳一切,1,1,2,0,6,0,11,0,0,0,0,0
 不同于地狱与净土的乐园,0,0,0,1,1,0,11,0,0,0,0,0
 你就好好感受下吧,0,0,0,1,1,0,11,0,0,0,0,0
 欢迎来到幻想乡！,1,1,1,0,1,0,11,0,0,0,0,0
